dia,realizada,garch,bnn
222,1.227687727659941,1.4701724983751774,1.328219287097454
223,1.2518483772873878,1.4528219029307365,1.32672218605876
224,1.2605822831392288,1.4386132545769215,1.336198654025793
225,1.2427646853029728,1.4253473095595837,1.35548647493124
226,1.210954077541828,1.4110854268074036,1.3792690448462963
227,1.2027230858802795,1.3957098312675953,1.3761667720973492
228,1.257928367704153,1.3809850439429283,1.3846961408853529
229,1.2704900652170181,1.3712461851537228,1.368673350661993
230,1.2550837360322478,1.3645454682409763,1.3468857482075691
231,1.2473457679152489,1.3577730394899845,1.3264070823788643
232,1.1937238276004791,1.3514843210577965,1.32700365036726
233,1.1063114367425442,1.3420047238469126,1.3272266462445261
234,1.0517483577132227,1.3265395164489748,1.3221925497055054
235,1.1369210109114647,1.3075735606253147,1.3182337768375874
236,1.23075220733881,1.2980912066996098,1.3014041632413864
237,1.3426610454916954,1.2982038222253323,1.299497149884701
238,1.537204757332802,1.307305693626404,1.2948355078697205
239,1.5308373980224135,1.3339377380907536,1.3014209270477295
240,1.6564574651420119,1.357968132942915,1.3278767839074135
241,1.6257343254983427,1.393875889480114,1.3461178168654442
242,2.7490300498902798,1.4232601970434189,1.3622057437896729
243,3.36707541719079,1.6689519956707957,1.3667000271379948
244,3.3607270568609238,1.9625848531723025,1.5123589895665646
245,3.3334512263536453,2.2382206842303276,1.670224517583847
246,3.369615040719509,2.4850045703351498,1.732106935232878
247,2.4957426637411118,2.7157405391335487,1.7792893014848234
248,1.6816721856594088,2.7284571900963783,1.816910021007061
249,1.6777674667537212,2.659344039857388,1.7326834797859194
250,1.5074405260384083,2.5952167063951497,1.6295860335230827
251,1.4959818683564663,2.5253868103027344,1.6063965111970901
252,1.1763312295079231,2.4600480124354362,1.5846928209066389
253,1.180904880166054,2.377281524240971,1.5802024304866789
254,1.4143595285713673,2.2990516200661664,1.5720573812723162
255,1.4989404194056988,2.240334115922451,1.5398699790239334
256,1.5203287638723852,2.1892615407705307,1.5370561927556992
257,1.707529835402966,2.1422095969319344,1.5434500202536583
258,1.7613965831696987,2.111007608473301,1.5664921328425407
259,1.5648461878299713,2.0849427580833435,1.5468642301857471
260,1.6189324483275414,2.045203633606434,1.5839256905019286
261,1.5136023424565794,2.012426517903805,1.5870092622935774
262,1.4812356792390349,1.9756963476538663,1.5958327986299992
263,1.4375765435397627,1.9409608468413355,1.5456576831638813
264,1.3969537802040577,1.9054535403847697,1.5979168564081194
265,1.2494007498025894,1.8702543154358864,1.5870750322937968
266,1.480370294302702,1.827698536217213,1.6106601804494858
267,1.292357761412859,1.8071865290403368,1.5741052851080894
268,1.299713160842657,1.7734511196613314,1.5557770431041718
269,1.3126727379858494,1.7422715201973915,1.533837839961052
270,1.3939069397747517,1.7139568179845812,1.49909857660532
271,1.1474904976785183,1.6929640248417854,1.479969881474972
272,1.1787359416484833,1.653413884341717,1.497783623635769
273,1.1879594251513481,1.6187488101422791,1.5029869228601456
274,1.342016812413931,1.5877363458275795,1.452952828258276
275,1.2484161555767062,1.5728139877319338,1.4319865591824057
276,1.3353898748755457,1.5529933758080006,1.3862727396190166
277,1.3162827864289284,1.540266666561365,1.3794504106044772
278,1.2879854440689085,1.5265251323580742,1.3821497932076456
279,1.2125828117132187,1.511694025248289,1.3736579567193987
280,1.2784808315336706,1.490702461451292,1.3858545012772083
281,1.2368446961045265,1.47645665332675,1.3894808106124403
282,1.382026094943285,1.4601579494774342,1.3569250330328944
283,1.4181004092097282,1.4595737867057323,1.3437876664102077
284,1.341323722153902,1.46178362891078,1.3586737215518954
285,1.4824498444795609,1.4568735845386982,1.3493231870234015
286,1.6500060819089415,1.4656302705407143,1.375084538012743
287,1.4830258302390575,1.4896300062537193,1.4047896489501
288,1.461696308106184,1.4962873049080374,1.4108822494745255
289,1.4503967948257923,1.5002675168216228,1.417091004550457
290,1.335040144622326,1.5033330395817759,1.4194350503385067
291,1.1270913667976856,1.4952616393566132,1.3828177563846114
292,1.1865870095789435,1.4695804193615913,1.366126034408808
293,1.5998555533587935,1.4505287632346153,1.3560107722878456
294,1.7132625356316569,1.4870001748204231,1.3397566415369513
295,1.7574262060225012,1.5286574698984625,1.3543103821575644
296,1.7846172489225869,1.5691544301807883,1.386435702443123
297,1.775605455040932,1.6080776043236256,1.4014517702162268
298,1.4424256421625614,1.6430632025003433,1.4429478719830515
299,1.5299020521342754,1.627069562673569,1.456550806760788
300,1.447476614266634,1.6211420670151713,1.4533461630344393
301,1.469838432967663,1.6099986061453821,1.4405024237930775
302,1.4491394348442554,1.601964794099331,1.4311089180409908
303,1.3481738977134228,1.5930455923080444,1.4136580750346186
