dia,bnn,garch,buyhold
6215,3.1314327321861994,3.2688139964813443,6.015387708718247
6216,3.1382858672255014,3.273870765498839,6.027518760398115
6217,3.1725611209962215,3.2998334896111334,6.088670662786343
6218,3.1806213140170754,3.305936145461482,6.103175093202823
6219,3.164204917384848,3.2936064471143673,6.074414217428091
6220,3.16355895786434,3.2931162601116837,6.0732827855999325
6221,3.177846817403255,3.3043737180283137,6.098827942087011
6222,3.159750888497194,3.2896680506580247,6.065857385174399
6223,3.1535677857954663,3.2846587125118996,6.054679189125869
6224,3.1818877416286195,3.3072036899895676,6.104348305122311
6225,3.1654149093291664,3.2944408218962846,6.076070595887656
6226,3.186163622562001,3.3110031119068855,6.112560114686296
6227,3.192000374602583,3.315666730621201,6.122800280297188
6228,3.188750611028484,3.3130109625804,6.117045409652477
6229,3.1922441144105864,3.3158469530206105,6.12311767421682
6230,3.1966546449650752,3.3195374051884707,6.13092920355095
6231,3.2112065250679342,3.3316706170945705,6.1563503675089155
6232,3.2168993236959973,3.336415453322427,6.1662455104301
6233,3.2261494473628054,3.344232895844274,6.182406319306146
6234,3.2008486234233082,3.322965081058793,6.138754210333897
6235,3.1628709078898662,3.2912239021891665,6.072771990289779
6236,3.1673644467111672,3.2947648079003438,6.080403595682208
6237,3.1959630680436844,3.3179988717513873,6.129907612930648
6238,3.2262857756073,3.3422724931404324,6.182157660375478
6239,3.2316253125742587,3.3465225258152405,6.191404538008582
6240,3.239579286008605,3.3529182532402193,6.205150188056683
6241,3.2186364775640572,3.3359137849240654,6.16900569194775
6242,3.249658377659993,3.3613836553967813,6.223340026852076
6243,3.265141210479289,3.373776429798118,6.250141281568868
6244,3.260231095070181,3.369849881572978,6.241709115716731
6245,3.2613775156731424,3.370765434428491,6.243654585453414
6246,3.2716353786617236,3.3792073345717784,6.261403037800061
6247,3.270406223237432,3.3782017810398677,6.2593052728917495
6248,3.257879643781277,3.3679198601020666,6.238051336107892
6249,3.253008908156834,3.363929138791221,6.22982604909509
6250,3.2360861528556604,3.3499071873827755,6.201133908309323
6251,3.2082396474609154,3.32654782035941,6.153245163301561
6252,3.2165348676516574,3.3332611410024606,6.167252949729146
6253,3.1955200824144003,3.3161325920061926,6.131811976448441
6254,3.226463750265611,3.3410902078073983,6.183772932616155
6255,3.2208214213368684,3.336548732056429,6.174181032293344
6256,3.1874913658661677,3.3096611022799105,6.117928856422409
6257,3.125903880318892,3.261107167488812,6.014062875499571
6258,3.123052209802092,3.259014118828218,6.009177300303535
6259,3.1563790014155506,3.283941738554853,6.0663823318058085
6260,3.199403088220185,3.3157109760510446,6.139996157242354
6261,3.2045591105481144,3.3194927357039865,6.148966747174716
6262,3.1949274352732795,3.3121574511187264,6.131894862758665
6263,3.1229317597915176,3.2575937339812224,6.007024277855077
6264,3.128276342174183,3.2613020833480393,6.016450405557443
6265,3.0889476129304163,3.232402620752361,5.944796201178839
6266,3.1277181946834043,3.259463462921577,6.013110693740677
6267,3.0853088803479887,3.228732058655749,5.935025050786768
6268,3.119562839234005,3.2527998026861558,5.997488308944857
6269,3.1330761270034437,3.2622715844984658,6.022094761121856
6270,3.158581968784804,3.281899729554957,6.072067793589114
6271,3.152530739188753,3.2773008191203123,6.060447537219399
6272,3.130780701702222,3.2604515831717404,6.018837935615313
6273,3.123113577778311,3.2545115854193982,6.004291725107501
6274,3.1329953913500312,3.2620652953123592,6.022439783811563
6275,3.1878818127294983,3.305538809473688,6.125201287803877
6276,3.2127419714251255,3.323776640154074,6.17089657801673
6277,3.2240792839440804,3.3321593828132667,6.191721931928218
6278,3.249267447143081,3.350929410080732,6.2374994345788535
6279,3.2611895608001653,3.360359034142103,6.260353818409689
6280,3.271077499378293,3.368227325495367,6.279109036182939
6281,3.2674700611138974,3.3653534456191654,6.2723743550092586
6282,3.2841497984383827,3.3782775676976518,6.302156821404293
6283,3.2903904235710044,3.3833063219584614,6.313625456474821
6284,3.27301510655744,3.3691024833797503,6.281731747722659
6285,3.306394697104461,3.396713765176645,6.343476657858821
6286,3.313176876268869,3.402162580250849,6.355842217148098
6287,3.3195253616996947,3.4072770178463587,6.3672832234485535
6288,3.331697871010598,3.4178933855713463,6.390717137578503
6289,3.354517402355411,3.436769264475708,6.432009345262957
6290,3.369589935223016,3.4490582049288436,6.458907637611228
6291,3.3832108396430405,3.460152095694342,6.483017445799334
6292,3.3864876146054823,3.4628211346271853,6.488772990316485
6293,3.373729796354947,3.4521743934259868,6.466070227784838
6294,3.3436111958659716,3.4271061585351648,6.412881476029927
6295,3.345625878232427,3.428742462276636,6.416414589237212
6296,3.3723417975817664,3.4504396829651314,6.462758144738147
6297,3.372300910895511,3.4504073898024554,6.462688735876742
6298,3.3867608080634954,3.4621526314118896,6.487668513385962
6299,3.377021471898724,3.4541710094423936,6.470790030360431
6300,3.3897367397701745,3.4645896272233747,6.492692232432369
6301,3.3843600906470566,3.4602450437823116,6.48361112741971
6302,3.372200117183862,3.4502553097019155,6.462882137267261
6303,3.378484890712618,3.45543002261235,6.473591991969411
6304,3.387271650806418,3.462654563776619,6.488441445075597
6305,3.3014347731451292,3.3904466934116293,6.340992764041914
6306,3.351906575902301,3.424788296736025,6.424695133790163
6307,3.286302150264088,3.375933449455294,6.302874495553782
6308,3.2413906040240996,3.3481044428213615,6.2284048521173805
6309,3.2913159392145275,3.380825206962298,6.316813546992403
6310,3.263949264183283,3.361383387673242,6.2634455451682305
6311,3.3049038634702907,3.3883903340519685,6.336921226754405
6312,3.37619329102923,3.4363217483893216,6.468140363923078
6313,3.387189556028791,3.443173306100333,6.488096422385892
6314,3.362115971192198,3.4267002628083683,6.441504881826732
6315,3.394579027190472,3.4487860721730725,6.503015284353484
6316,3.363554709401044,3.4272449193648375,6.443602646735044
6317,3.3384948860026737,3.4096376724898287,6.395464568924173
6318,3.3940081470996017,3.448302470916546,6.500020595226424
6319,3.365356376634271,3.4279178819436957,6.44318821518393
6320,3.33028843815045,3.4038587579269035,6.376902752541439
6321,3.292635320641045,3.3773788970722447,6.304282215082682
6322,3.3467738520125927,3.4180210436717586,6.416359331697064
6323,3.3799639275553717,3.440783576461898,6.4816791351318415
6324,3.3999405501421065,3.454942955001053,6.522019161057399
6325,3.4407622447604975,3.4872191754355697,6.612276961910064
6326,3.4375075932655075,3.4848604183217913,6.605597538276533
6327,3.441974313955969,3.4882227844002407,6.6148578933584545
6328,3.4323293329534144,3.480846009384827,6.595081084964902
6329,3.423702037167096,3.4742340007800308,6.577761215490625
6330,3.4448101270972797,3.4905817212123478,6.619688211014343
6331,3.4425784609809886,3.4889354284904974,6.615520309967794
6332,3.3743773466069995,3.43703140310592,6.487227126937217
6333,3.371006692530577,3.4346987139196217,6.4809749384311734
6334,3.371006692530577,3.4246488626976492,6.454725585243424
6335,3.3664145086504726,3.421017074603421,6.445424123942613
6336,3.396691778102428,3.4445613103485107,6.504464110101273
6337,3.4062243521360354,3.451870407477729,6.522792092747037
6338,3.3560012010477385,3.4140174179255816,6.429883951584576
6339,3.35884136231119,3.4160852064868386,6.435156329561649
6340,3.2952564020802355,3.368505432102219,6.3168270244412215
6341,3.2622944193335885,3.345499672744444,6.255619864512844
6342,3.225490803184567,3.319450745540573,6.1865742203527025
6343,3.1672326965067814,3.275382789567792,6.069556271002136
6344,3.1757836331699605,3.281367148833932,6.08637949648752
6345,3.1386047286531014,3.2542256872055004,6.012296655832157
6346,3.134059702849789,3.250948350648817,6.00329843712972
6347,3.1168469464439843,3.238838287766489,5.9709761455051895
6348,3.190914313836741,3.294171438772262,6.116355364273075
6349,3.25381895065105,3.3338921695345065,6.231868556463263
6350,3.275965356828369,3.3480535076627853,6.2746378925380215
6351,3.3056084786282063,3.368052181992426,6.333760765006903
6352,3.2330889506663483,3.314848650665896,6.179273486328726
6353,3.2330889506663483,3.3249462485107864,6.2111395663108135
6354,3.2330889506663483,3.3174394050033746,6.188147712502048
6355,3.257413014644865,3.33490654308999,6.2401356235673955
6356,3.303712599060516,3.365811325940129,6.330724969660953
6357,3.241906838473115,3.326950054104611,6.216039292828107
6358,3.181290977344537,3.288117507491728,6.0981244192587925
6359,3.181290977344537,3.2806389942359737,6.074703982577659
6360,3.2283152557388584,3.3121036246222832,6.170482146465625
6361,3.230881729364702,3.3138693997916637,6.175919623190703
6362,3.230881729364702,3.2698105665205373,6.045156023792034
6363,3.230881729364702,3.2559033215856843,6.001835460060676
6364,3.2011703825163784,3.2358250719919983,5.940959171500747
