dia,epistemica,aleatoria
5554,0.0010231908,0.010645045
5555,0.0010832252,0.012962091
5556,0.001918411,0.013760768
5557,0.0012658633,0.012910126
5558,0.0016254298,0.013836112
5559,0.0017949108,0.014128999
5560,0.0013645728,0.012995088
5561,0.0012535088,0.014423098
5562,0.0016136615,0.014520281
5563,0.0011940408,0.013265805
5564,0.0029391192,0.018306557
5565,0.0019376838,0.014921135
5566,0.0011503918,0.011715654
5567,0.0013789064,0.014684701
5568,0.00252145,0.017836709
5569,0.0015908409,0.016813468
5570,0.0039357585,0.023284035
5571,0.0035072186,0.019126143
5572,0.0037327304,0.019693693
5573,0.0021006884,0.01613645
5574,0.0016104708,0.013675756
5575,0.0017528762,0.0158656
5576,0.003503164,0.016529642
5577,0.002858031,0.015378583
5578,0.0016709612,0.014319246
5579,0.0017349191,0.015075972
5580,0.004071123,0.018675152
5581,0.0022885916,0.01817164
5582,0.0027238321,0.014032841
5583,0.001452777,0.012014481
5584,0.0028392428,0.015637659
5585,0.0030408953,0.018965922
5586,0.0015628631,0.012313163
5587,0.0026045043,0.01491924
5588,0.001558569,0.01129563
5589,0.0015615,0.013352481
5590,0.0012518367,0.011362697
5591,0.0011464093,0.010880301
5592,0.0013309737,0.012059742
5593,0.0024278103,0.013154854
5594,0.0035194193,0.01720588
5595,0.001199062,0.01069136
5596,0.001903355,0.012754967
5597,0.0016997354,0.013381972
5598,0.0013528194,0.012944116
5599,0.0011194495,0.01056377
5600,0.0015364749,0.011099137
5601,0.0016500914,0.011973004
5602,0.00074303424,0.009872979
5603,0.00090075156,0.009869791
5604,0.0011546473,0.011450798
5605,0.000956006,0.010687731
5606,0.0007997668,0.009687563
5607,0.0005838673,0.00944416
5608,0.00061218766,0.009285621
5609,0.0005693527,0.009726163
5610,0.00058676145,0.00952736
5611,0.00060848973,0.009146458
5612,0.000566393,0.009488274
5613,0.000632593,0.009272432
5614,0.0006280312,0.009093107
5615,0.00056620856,0.009010636
5616,0.00060429715,0.008869213
5617,0.0006146042,0.009114423
5618,0.0005582049,0.008808005
5619,0.00058825564,0.0088508455
5620,0.0005641972,0.008656779
5621,0.0007624444,0.009335195
5622,0.00061594223,0.00908666
5623,0.00063711,0.008813064
5624,0.0005930475,0.008973312
5625,0.00059218216,0.008930631
5626,0.0006035121,0.008840255
5627,0.0006162982,0.008785393
5628,0.00066227216,0.009207788
5629,0.00067836675,0.00879055
5630,0.0009690435,0.009473435
5631,0.00078060786,0.009432861
5632,0.0006709812,0.0094530005
5633,0.00064983394,0.009113686
5634,0.0006351687,0.00893361
5635,0.0006238498,0.008921106
5636,0.0006315315,0.009221696
5637,0.00066522585,0.009591745
5638,0.0006715377,0.0091396645
5639,0.00064409466,0.009313463
5640,0.0006476871,0.008703653
5641,0.0006237751,0.0092042405
5642,0.0006276086,0.009165611
5643,0.0006889576,0.009466314
5644,0.0007270205,0.009399672
5645,0.0005856036,0.008912988
5646,0.0006300581,0.008797341
5647,0.0006037309,0.008982556
5648,0.00064925203,0.009090797
5649,0.00064406643,0.008900502
5650,0.0005911257,0.008463897
5651,0.00061614776,0.008727871
5652,0.00064751855,0.008740895
5653,0.0006402303,0.008654806
5654,0.0006323182,0.008763723
5655,0.00064761064,0.0084878355
5656,0.00062732096,0.008506888
5657,0.0006364969,0.008658437
5658,0.0006534673,0.0087247575
5659,0.0007167693,0.008550667
5660,0.0005642344,0.008488633
5661,0.0006439381,0.008427703
5662,0.0006949214,0.008601326
5663,0.0006384531,0.0088491095
5664,0.0006767091,0.008837872
5665,0.0010301981,0.0094058085
5666,0.0008511852,0.008947188
5667,0.000813828,0.00924947
5668,0.0011211996,0.01041942
5669,0.00079106394,0.008911075
5670,0.0006824236,0.009202608
5671,0.00071146485,0.009132592
5672,0.0006900364,0.009862862
5673,0.00079022854,0.009486914
5674,0.0010228573,0.011208039
5675,0.000832302,0.010001325
5676,0.00064043154,0.009499006
5677,0.0007712137,0.010149769
5678,0.00067004404,0.009517381
5679,0.00067448517,0.009905564
5680,0.00088193204,0.010136682
5681,0.0008459607,0.010133521
5682,0.0007491263,0.010684732
5683,0.0011107628,0.011904673
5684,0.0009237504,0.011105355
5685,0.0007788116,0.011000766
5686,0.0008160206,0.010442092
5687,0.0005544189,0.01012953
5688,0.00071287993,0.009512099
5689,0.00064235623,0.010029232
5690,0.0012777199,0.011404468
5691,0.00077115535,0.00979167
5692,0.0007447774,0.009942586
5693,0.0008003517,0.010151332
5694,0.0006240999,0.009657905
5695,0.00058060465,0.00930474
5696,0.00081381196,0.010026407
5697,0.0006158319,0.009371618
5698,0.0006112315,0.009476245
5699,0.0005899383,0.009462177
5700,0.0005965989,0.008798512
5701,0.000827775,0.010088713
5702,0.0006454363,0.009220861
5703,0.0006394408,0.009295619
5704,0.00059364113,0.009178455
5705,0.00069905136,0.009118601
5706,0.00065363577,0.009303327
5707,0.0005918025,0.008742252
5708,0.0006285115,0.009099832
5709,0.0005878596,0.008572118
5710,0.00051349006,0.008759742
5711,0.00054970785,0.008516938
5712,0.0005636054,0.008652089
5713,0.0005529513,0.008703179
5714,0.0005753756,0.008700241
5715,0.0005349138,0.00857892
5716,0.000539308,0.00865251
5717,0.00055418216,0.008869057
5718,0.00053381437,0.008801742
5719,0.00051712216,0.008777521
5720,0.0005251548,0.008666858
5721,0.00051645486,0.008746536
5722,0.00051520707,0.008776036
5723,0.0014083358,0.011484839
5724,0.0010770031,0.010327783
5725,0.0008592997,0.010183753
5726,0.0010288722,0.010730531
5727,0.000886424,0.009854183
5728,0.0010219874,0.010588136
5729,0.0011712008,0.011535704
5730,0.0023172256,0.01502781
5731,0.001544887,0.012957884
5732,0.0014921939,0.012662256
5733,0.0014890236,0.013211476
5734,0.000993229,0.012289272
5735,0.0011237062,0.011749396
5736,0.00092926685,0.012247639
5737,0.0025415455,0.014774393
5738,0.0015739047,0.013697592
5739,0.0010122726,0.012701655
5740,0.0010709419,0.013464778
5741,0.0015523854,0.013403481
5742,0.0011779792,0.013693626
5743,0.0009416169,0.011270095
5744,0.00096027507,0.011384621
5745,0.0010414025,0.0115112765
5746,0.00140263,0.0121821035
5747,0.0010318928,0.012450464
5748,0.0009641936,0.011368429
5749,0.000950863,0.010896512
5750,0.00091755064,0.011374161
5751,0.0010240746,0.012050142
5752,0.0008058802,0.010079602
5753,0.0009743658,0.010147057
5754,0.0009820417,0.010542199
5755,0.0009637114,0.0100988895
5756,0.00075724255,0.009913674
5757,0.0009186176,0.009535434
5758,0.0009214365,0.009566225
5759,0.0011924685,0.011461381
5760,0.00073209417,0.009473503
5761,0.0006624311,0.008959563
5762,0.00074443576,0.009018986
5763,0.00069369987,0.009149767
5764,0.0010739968,0.010529477
5765,0.0009024542,0.010186749
5766,0.0010588081,0.009912168
